day,xt
32552,0.0
32553,0.0
32554,0.0
32555,0.0
32556,0.0
32557,0.0
32558,0.0
32559,0.9700773924754167
32560,0.0
32561,0.0
32562,0.0
32563,0.0
32564,0.0
32565,0.0
32566,0.0
32567,0.0
32568,0.0
32569,0.0
32570,0.0
32571,0.0
32572,0.0
32573,0.0
32574,0.0
32575,0.0
32576,0.0
32577,0.0
32578,0.0
32579,0.0
32580,0.0
32581,0.0
32582,0.0
32583,0.0
32584,0.21749447789872178
32585,0.0
32586,0.0
32587,0.0
32588,0.0
32589,0.0
32590,0.0
32591,0.0
32592,0.0
32593,0.0
32594,0.0
32595,0.0
32596,0.0
32597,0.0
32598,0.0
32599,0.0
32600,0.0
32601,0.0
32602,0.0
32603,0.0
32604,0.0
32605,0.0
32606,0.0
32607,0.0
32608,0.0
32609,0.0
32610,0.0
32611,0.0
32612,0.0
32613,0.0
32614,0.0
32615,0.0
32616,0.0
32617,0.0
32618,0.0
32619,0.0
32620,0.0
32621,0.0
32622,0.0
32623,0.0
32624,0.0
32625,0.0
32626,0.0
32627,0.0
32628,0.0
32629,0.12662532314266683
32630,0.0
32631,0.0
32632,0.0
32633,0.0
32634,0.0
32635,0.0
32636,0.0
32637,0.0
32638,0.0
32639,1.075553870706041
32640,0.0
32641,0.0
32642,0.0
32643,0.0
32644,0.0
32645,0.0
32646,0.0
32647,0.20442205312781803
32648,0.0
32649,0.0
32650,0.0
32651,0.0
32652,0.0
32653,0.0
32654,0.0
32655,0.0
32656,1.0719900399865219
32657,0.0
32658,0.0
32659,0.0
32660,0.0
32661,0.0
32662,0.0
32663,0.8957353794263467
32664,0.0
32665,0.0
32666,0.017567865238060865
32667,0.0
32668,0.025234435403291733
32669,0.0
32670,1.2754756172523436
32671,0.0
32672,0.0
32673,0.0
32674,0.3725423227209598
32675,2.0628032657535753
32676,1.5612533705168965
32677,2.723436742268979
32678,2.802613214657791
32679,3.7432620772015
32680,3.844959169784878
32681,4.903619802131905
32682,5.835136285405733
32683,4.681415081814392
32684,3.570723035884206
32685,2.7347065224123894
32686,1.5012472677258053
32687,1.4565773477551631
32688,2.341643753355827
32689,2.2978490608138014
32690,1.4329598466801108
32691,1.138479853418835
32692,0.0
32693,0.0
32694,0.0
32695,0.04253199100559113
32696,0.0
32697,0.0
32698,0.0
32699,0.0
32700,0.0
32701,0.05889168944334372
32702,0.0
32703,0.0
32704,0.0
32705,0.26085764745271317
32706,0.056392715962588935
32707,0.02507544433189507
32708,0.0
32709,0.0
32710,0.05151290454342555
32711,0.0
32712,0.6311876739318238
32713,0.29613819414246717
32714,0.0
32715,0.0
32716,0.8215054300097612
32717,0.0
32718,0.304889185802301
32719,0.28875851103186717
32720,0.780803637620783
32721,0.0
32722,0.0
32723,0.2117273685215807
32724,0.1608217168178812
32725,0.944685530044088
32726,0.8158448258668682
32727,2.137351482329102
32728,2.2097710527512175
32729,3.7761329715571392
32730,5.447024846902773
32731,7.1573920518748055
32732,6.387180851036869
32733,7.579379269666993
32734,7.539513454793541
32735,7.511181852774144
32736,8.32721844893347
32737,7.975381902837893
32738,6.317595967976375
32739,6.356394355083711
32740,8.268320936982464
32741,7.944588045209624
32742,7.8982215296494775
32743,8.327880651852674
32744,8.001004426680518
32745,7.845162728773607
32746,8.01941227005428
32747,7.657147396792274
32748,9.021835805118174
32749,11.197156134962324
32750,11.71812123754151
32751,11.292435910467693
32752,11.866762085161097
32753,10.79306926190254
32754,9.479519710453447
32755,9.465705375641827
32756,10.797846190996426
32757,12.278233071277114
32758,12.74427604858502
32759,13.518853102831955
32760,13.82420656205873
32761,13.797164109965069
32762,12.665474673834336
32763,13.927293690661825
32764,13.572958799019359
32765,14.465253144893422
32766,14.495814813882859
32767,13.603037250546157
32768,12.836282485732001
32769,12.316091374184587
32770,12.481448787763044
32771,13.714256197372729
32772,14.470644536225507
32773,13.720485276435365
32774,12.445524063085601
32775,13.152653789588502
32776,15.118978193795298
32777,16.10247769426493
32778,18.15584807912042
32779,17.670436542689938
32780,17.675559632996723
32781,19.00634467027374
32782,17.364981817979945
32783,17.735163863998334
32784,18.03164628843917
32785,19.402840589024795
32786,18.40020355416953
32787,18.13366250736216
32788,17.40289151835969
32789,17.236642569887923
32790,15.94242925758277
32791,16.395951115979027
32792,16.479415267540407
32793,16.11049737526385
32794,16.288149161475484
32795,16.61422887196266
32796,17.97609388894762
32797,17.74511140122201
32798,18.931924864674986
32799,17.963286690189875
32800,17.17536738300343
32801,18.598097022448172
32802,19.62697781524743
32803,17.72997053948327
32804,15.327041964463493
32805,16.60963551982755
32806,16.241937416900793
32807,15.362526704801631
32808,15.358405097775575
32809,14.497889091216493
32810,14.21387887958188
32811,13.619566589074203
32812,12.92961596516053
32813,10.673455601195236
32814,9.299089406492458
32815,10.04880288988079
32816,10.445242325962218
32817,10.26966562678525
32818,10.670019736506774
32819,10.328848173897814
32820,8.188934127829647
32821,6.630762826259989
32822,6.659863807446071
32823,4.440411268441789
32824,3.1452279498706934
32825,1.9248606844410725
32826,1.656829672277396
32827,0.9151181550036894
32828,0.5470563795662315
32829,0.45336082876670475
32830,0.22437342192872156
32831,0.48311205684666536
32832,0.03010914883682203
32833,0.0
32834,0.0
32835,0.0
32836,0.0
32837,0.0
32838,0.0
32839,0.0
32840,0.0
32841,0.0
32842,2.142182136587505
32843,0.0
32844,0.0
32845,0.0
32846,0.0
32847,0.0
32848,0.0
32849,0.0
32850,0.0
32851,0.0
32852,0.0
32853,0.0
32854,0.0
32855,0.30468133198295844
32856,0.0
32857,0.0
32858,0.0
32859,0.0
32860,0.0
32861,0.0
32862,1.4330563993219856
32863,0.3565226590507795
32864,0.9250303405760789
32865,0.0
32866,0.0
32867,0.0
32868,0.0
32869,0.0
32870,0.0
32871,0.4522548450592432
32872,0.0
32873,0.0
32874,0.0
32875,0.0
32876,0.0
32877,0.0
32878,0.0
32879,0.0
32880,0.0
32881,0.0
32882,0.0
32883,0.0
32884,0.0
32885,0.0
32886,0.0
32887,0.0
32888,0.0
32889,0.0
32890,0.0
32891,0.0
32892,0.0
32893,0.0
32894,0.0
32895,0.45860395401982545
32896,0.0
32897,0.0
32898,0.0
32899,0.0
32900,0.0
32901,0.0
32902,0.0
32903,0.0
32904,0.0
32905,0.0
32906,0.0
32907,0.0
32908,0.0
32909,0.0
32910,1.1523486365971183
32911,0.0
32912,0.0
32913,0.0
32914,0.0
32915,0.0
32916,0.0
32917,0.0
32918,0.0
32919,0.0
32920,0.0
32921,0.0
32922,0.0
32923,0.0
32924,0.0
32925,0.0
32926,0.0
32927,0.0
32928,0.0
32929,0.0
32930,0.0
32931,0.0
32932,0.0
32933,0.0
32934,0.0
32935,0.0
32936,0.0
32937,0.0
32938,0.0
32939,0.0
32940,0.0
32941,0.0
32942,0.0
32943,0.0
32944,0.0
32945,0.0
32946,0.0
32947,0.0
32948,0.0
32949,0.0
32950,0.0
32951,0.0
32952,0.0
32953,0.0
32954,0.0
32955,0.0
32956,0.0
32957,0.0
32958,0.0
32959,0.0
32960,0.0
32961,0.06577794331898601
32962,0.0
32963,0.0
32964,0.0
32965,0.0
32966,0.0
32967,0.0
32968,0.0
32969,0.0
32970,0.0
32971,0.0
32972,0.0
32973,0.0
32974,0.0
32975,0.0
32976,0.0
32977,0.0
32978,0.0
32979,0.0
32980,0.0
32981,0.0
32982,0.3540027530353149
32983,0.0
32984,0.08839550840696386
32985,0.0
32986,0.0
32987,0.0
32988,0.0
32989,0.0
32990,0.0
32991,0.0
32992,0.0
32993,0.0
32994,0.0
32995,0.0
32996,0.3847580921473539
32997,0.0
32998,0.0
32999,0.0
33000,0.0
33001,0.0
33002,0.0
33003,0.0
