b0_est,b1_est,sigma_est,converged
-3.0992169990686853,-0.3051620784165382,1.4168876687494583,True
-3.003858021487102,-0.29670407134103366,1.4097553913622365,True
-3.0365995647191046,-0.3047994508741297,1.4294736352072626,True
-3.0810577881852512,-0.30037208016585953,1.415253457565182,True
-3.0213304432436883,-0.2937566982513642,1.363822693006403,True
-2.973392192231998,-0.30150950550355105,1.4207384641827683,True
-3.020549057013939,-0.30665723564095787,1.4657040808259512,True
-2.988365618440386,-0.30001887845291,1.4277896598452067,True
-3.044174929229551,-0.3104105097818355,1.4172166138020312,True
-2.9114226549140847,-0.29303878365119307,1.3885825942652634,True
-2.990738068566003,-0.30104996656773525,1.4045127813702327,True
-3.0555153513938675,-0.3044845059409982,1.4347546327753469,True
-3.095332116880197,-0.30894546012629115,1.3735360453721626,True
-2.992632786798935,-0.30140652946418095,1.3931219024121078,True
-3.0320694912767276,-0.3016708756271896,1.411692966741136,True
-2.917346588910057,-0.29579833389131704,1.401447860045532,True
-2.9776060365896515,-0.2965593991431092,1.3980691933433331,True
-2.972138964361265,-0.29613258472176324,1.3409748203203984,True
